Id,Character,Name,Ability Element,Ability Pot. %,Ability Range,Ability Type,Command ATB,Command Sigil,Effect0,Effect0_Duration,Effect0_Extend,Effect0_MaxPot,Effect0_Pot,Effect0_Range,Effect1,Effect1_Duration,Effect1_Extend,Effect1_MaxPot,Effect1_Pot,Effect1_Range,Effect2,Effect2_Duration,Effect2_Extend,Effect2_MaxPot,Effect2_Pot,Effect2_Range,Effect3,Effect3_Range,GachaType
2015,Barret,Flame Projector,Fire,520.0,All Enemies,Mag,4,,,,,,,,,,,,,,,,,,,,,,Featured
2017,Barret,Electrocannon,Lightning,540.0,All Enemies,Mag,4,,PATK Down,30,10,Very High,High,All Enemies,MATK Down,30,10,High,High,All Enemies,,,,,,,,,Featured
2018,Barret,Heavy Hauser,None,940.0,Single Enemy,Phys,4,,UNKOWN ADDITIONAL EFFECT,,,,,Single Enemy,,,,,,,,,,,,,,,Featured
2019,Barret,Lefko Kypseli,Heal,14.0,Single Ally,Mag,4,,PDEF Up,38,12,Very High,High,Single Ally,,,,,,,,,,,,,,,Event
2020,Barret,Rocket Punch,None,500.0,Single Enemy,Phys,4,,UNKOWN ADDITIONAL EFFECT,,,,,Single Enemy,,,,,,,,,,,,,,,Event
2021,Barret,Sharkslayer,None,420.0,Single Enemy,Phys,3,◊ Diamond,Fire Resistance Down,24,8,Very High,Very High,Single Enemy,Water Resistance Down,24,8,Very High,Very High,Single Enemy,UNKOWN ADDITIONAL EFFECT,,,,,Single Enemy,,,Featured
2022,Barret,Shiva Cannon,Ice,450.0,Single Enemy,Mag,4,,,,,,,,,,,,,,,,,,,,,,Grindable
2024,Barret,Hell House Cannon,None,360.0,Single Enemy,Mag,4,,MDEF Down,28,9,High,Mid,Single Enemy,UNKOWN ADDITIONAL EFFECT,,,,,Single Enemy,,,,,,,,,Event
2025,Barret,Siege Cannon,Water,290.0,All Enemies,Mag,4,,,,,,,,,,,,,,,,,,,,,,Event
2027,Barret,Leviathan Buster,Water,450.0,Single Enemy,Mag,4,,,,,,,,,,,,,,,,,,,,,,Grindable
2029,Barret,Rhad Cannon,Heal,14.0,Single Ally,Mag,4,,PATK Up,44,14,High,Mid,Single Ally,UNKOWN SKILL STATUS CHANGE,,,,,Single Ally,,,,,,,,,Event
2031,Barret,Ultimate Gatling Gun,Heal,5.0,All Allies,Phys,0,,PDEF Up,20,20,Very High,Very High,All Allies,,,,,,,,,,,,,,,Ultimate
2032,Barret,Escutcheon Cannon,Heal,8.0,All Allies,Mag,4,,MDEF Up,20,6,Very High,Very High,All Allies,MATK Up,20,6,Very High,Very High,All Allies,,,,,,,,,Featured
2033,Barret,Sunrise Cannon,None,780.0,All Enemies,Phys,4,,Fire Resistance Up,30,10,Very High,High,All Allies,Lightning Resistance Up,30,10,Very High,High,All Allies,PDEF Up,30,10,Very High,High,All Allies,UNKOWN ADDITIONAL EFFECT,All Enemies,Featured
2035,Barret,Fafnir Rifle,None,540.0,All Enemies,Phys,4,,UNKOWN SKILL STATUS CHANGE,,,,,Self,UNKOWN SKILL STATUS CHANGE,,,,,Self,PDEF Up,20,6,Very High,High,All Allies,UNKOWN ADDITIONAL EFFECT,All Enemies,Limited
2036,Barret,Missing Score,Heal,5.0,All Allies,Mag,0,,UNKOWN SKILL STATUS CHANGE,,,,,All Allies,UNKOWN SKILL STATUS CHANGE,,,,,All Allies,,,,,,,,,Ultimate
2038,Barret,Teacher's Paper Fan,Wind,500.0,All Enemies,Phys,3,,Wind Resistance Down,30,10,Very High,Very High,All Enemies,UNKOWN SKILL STATUS CHANGE,,,,,Self,,,,,,,,,Limited
2039,Barret,Hook Launcher,Lightning,290.0,All Enemies,Mag,4,,,,,,,,,,,,,,,,,,,,,,Event
2040,Barret,Quad Gatling Gun,None,360.0,Single Enemy,Mag,4,,PDEF Down,28,9,High,Mid,Single Enemy,UNKOWN ADDITIONAL EFFECT,,,,,Single Enemy,,,,,,,,,Event
3001,Tifa,Leather Gloves,None,540.0,Single Enemy,Phys,4,,UNKOWN ADDITIONAL EFFECT,,,,,Single Enemy,PATK Down,25,8,Very High,Very High,Single Enemy,,,,,,,,,Featured
3005,Tifa,Grand Gloves,Heal,132.0,Self,Phys,5,,UNKNOWN EFFECT: 6,,,,,Self,,,,,,,,,,,,,,,Featured
3006,Tifa,Sonic Striker,None,990.0,Single Enemy,Phys,4,,UNKOWN ADDITIONAL EFFECT,,,,,Single Enemy,,,,,,,,,,,,,,,Featured
3007,Tifa,Tiger Fangs,None,540.0,Single Enemy,Phys,4,,MATK Down,25,8,Very High,Very High,Single Enemy,UNKOWN ADDITIONAL EFFECT,,,,,Single Enemy,,,,,,,,,Featured
3010,Tifa,Crystal Gloves,Lightning,500.0,All Enemies,Mag,4,,,,,,,,,,,,,,,,,,,,,,Featured
3011,Tifa,Motor Drive,Wind,790.0,Single Enemy,Phys,4,,,,,,,,,,,,,,,,,,,,,,Featured
3013,Tifa,Kaiser Knuckles,None,480.0,Single Enemy,Mag,4,,MDEF Down,25,8,Very High,Very High,Single Enemy,UNKOWN ADDITIONAL EFFECT,,,,,Single Enemy,,,,,,,,,Featured
3014,Tifa,Work Gloves,Heal,14.0,Self,Mag,4,,PDEF Up,35,11,Very High,Very High,Self,PATK Up,35,11,Very High,Very High,Self,,,,,,,,,Event
3015,Tifa,Powersoul,None,900.0,Single Enemy,Mag,4,,UNKOWN ADDITIONAL EFFECT,,,,,Single Enemy,,,,,,,,,,,,,,,Featured
3019,Tifa,Lifeguard Wraps,Heal,55.0,All Allies,Mag,4,,,,,,,,,,,,,,,,,,,,,,Featured
3020,Tifa,Feathered Gloves,None,420.0,Single Enemy,Phys,3,,MDEF Down,24,8,High,High,Single Enemy,Water Damage Up,35,7,Very High,Very High,Self,UNKOWN ADDITIONAL EFFECT,,,,,Single Enemy,,,Featured
3024,Tifa,Bahamut Knuckles,None,450.0,Single Enemy,Mag,4,◊ Diamond,UNKOWN ADDITIONAL EFFECT,,,,,Single Enemy,,,,,,,,,,,,,,,Grindable
3025,Tifa,Holy Flame Gloves,Ice,800.0,Single Enemy,Phys,4,,,,,,,,,,,,,,,,,,,,,,Featured
3027,Tifa,Amarant's Claws,None,720.0,Single Enemy,Phys,4,,PATK Up,40,8,Very High,Very High,Self,UNKOWN ADDITIONAL EFFECT,,,,,Single Enemy,MATK Down,30,10,Very High,High,Single Enemy,,,Event
3028,Tifa,Bunny Gloves,Water,850.0,Single Enemy,Mag,4,,MATK Up,35,7,Very High,Mid,Self,,,,,,,,,,,,,,,Featured
3029,Tifa,Oven Mitts,Heal,14.0,Single Ally,Mag,4,,PATK Up,44,14,High,Mid,Single Ally,UNKOWN SKILL STATUS CHANGE,,,,,Single Ally,,,,,,,,,Event
3030,Tifa,Turks' Gloves,None,360.0,Single Enemy,Mag,4,,PDEF Down,28,9,High,Mid,Single Enemy,UNKOWN ADDITIONAL EFFECT,,,,,Single Enemy,,,,,,,,,Event
3031,Tifa,Guide Gloves,None,1300.0,Single Enemy,Phys,4,,UNKOWN ADDITIONAL EFFECT,,,,,Single Enemy,,,,,,,,,,,,,,,Event
3032,Tifa,Kirin Gloves,Lightning,940.0,Single Enemy,Mag,4,,MATK Up,35,7,High,High,Self,,,,,,,,,,,,,,,Limited
3033,Tifa,Shell Knuckles,Fire,940.0,Single Enemy,Mag,4,,UNKOWN ADDITIONAL EFFECT,,,,,Single Enemy,,,,,,,,,,,,,,,Featured
3034,Tifa,Steward Gloves,None,360.0,Single Enemy,Mag,4,,PATK Down,28,9,High,Mid,Single Enemy,UNKOWN ADDITIONAL EFFECT,,,,,Single Enemy,,,,,,,,,Event
3035,Tifa,Bahamut Fangs,None,1100.0,Single Enemy,Mag,4,,UNKOWN SKILL STATUS CHANGE,,,,,Self,MATK Up,25,8,Very High,High,All Allies,UNKOWN ADDITIONAL EFFECT,,,,,Single Enemy,,,Limited
3036,Tifa,Black Cat's Paws,Lightning,290.0,All Enemies,Mag,4,,,,,,,,,,,,,,,,,,,,,,Event
3037,Tifa,Ultimate Leather Gloves,None,1000.0,Single Enemy,Both,0,,PATK Up,30,30,High,High,All Allies,MATK Up,30,30,High,High,All Allies,,,,,,,,,Ultimate
3038,Tifa,Sabin's Claws,None,800.0,All Enemies,Phys,4,,PATK Up,30,10,Very High,High,Self,MATK Up,30,10,Very High,High,Self,UNKOWN ADDITIONAL EFFECT,,,,,All Enemies,UNKOWN ADDITIONAL EFFECT,All Enemies,Limited
3039,Tifa,Blue Daffodil Gloves,None,1100.0,Single Enemy,Phys,4,,UNKOWN SKILL STATUS CHANGE,,,,,Self,UNKOWN ADDITIONAL EFFECT,,,,,Single Enemy,,,,,,,,,Limited
3040,Tifa,Premium Heart,None,2000.0,Single Enemy,Both,0,,UNKOWN SKILL STATUS CHANGE,,,,,Self,,,,,,,,,,,,,,,Ultimate
3041,Tifa,Odin Gloves,Wind,450.0,Single Enemy,Mag,4,,,,,,,,,,,,,,,,,,,,,,Grindable
3042,Tifa,Gauntlets of the Worthy,Earth,1120.0,Single Enemy,Phys,4,,Earth Damage Up,25,8,Very High,High,All Allies,UNKNOWN EFFECT: 16,,,,,Self,,,,,,,,,Limited
3043,Tifa,Járngreipr,None,250.0,All Enemies,Mag,4,,PDEF Down,35,8,High,Mid,All Enemies,UNKOWN ADDITIONAL EFFECT,,,,,All Enemies,,,,,,,,,Event
3045,Tifa,Penance Gloves,Fire,290.0,All Enemies,Mag,4,,,,,,,,,,,,,,,,,,,,,,Event
3046,Tifa,Shining Gloves,Water,1120.0,Single Enemy,Phys,4,,PATK Down,30,10,Very High,High,Single Enemy,MATK Down,30,10,Very High,High,Single Enemy,,,,,,,,,Featured
3047,Tifa,Class President's Bracelet,Wind,1060.0,Single Enemy,Phys,4,,PATK Up,25,8,Very High,High,All Allies,,,,,,,,,,,,,,,Limited
3048,Tifa,Striped Moogle Gloves,None,360.0,Single Enemy,Mag,4,,MATK Down,28,9,High,Mid,Single Enemy,UNKOWN ADDITIONAL EFFECT,,,,,Single Enemy,,,,,,,,,Event
3049,Tifa,Leather Combat Gloves,None,1340.0,All Enemies,Mag,4,,Status Ailment: Enfeeble,60,12,,,All Enemies,UNKNOWN EFFECT: 31,,,,,All Allies,UNKOWN ADDITIONAL EFFECT,,,,,All Enemies,,,Limited
3050,Tifa,Lightning's Gloves,Ice,1340.0,Single Enemy,Mag,4,,Ice Resistance Down,25,8,Very High,High,Single Enemy,UNKOWN SKILL STATUS CHANGE,,,,,Self,,,,,,,,,Limited
3052,Tifa,Demon's Impetus,None,1340.0,Single Enemy,Phys,4,,UNKOWN SKILL STATUS CHANGE,,,,,Self,PATK Up,60,20,Very High,Very High,All Allies,UNKOWN ADDITIONAL EFFECT,,,,,Single Enemy,,,Limited
4001,Aerith,Guard Stick,Heal,15.0,Single Ally,Mag,4,,MDEF Up,38,12,Very High,Very High,Single Ally,,,,,,,,,,,,,,,Featured
4002,Aerith,Silver Staff,Ice,540.0,All Enemies,Mag,4,,,,,,,,,,,,,,,,,,,,,,Featured
4003,Aerith,Striking Staff,None,900.0,Single Enemy,Phys,4,,UNKOWN ADDITIONAL EFFECT,,,,,Single Enemy,,,,,,,,,,,,,,,Featured
4004,Aerith,Mythril Rod,Heal,10.0,All Allies,Mag,5,,PDEF Up,14,4,High,High,All Allies,MDEF Up,14,4,High,High,All Allies,,,,,,,,,Featured
4005,Aerith,Full Metal Staff,None,340.0,All Enemies,Phys,4,,PATK Down,25,8,High,High,All Enemies,UNKOWN ADDITIONAL EFFECT,,,,,All Enemies,,,,,,,,,Featured
4007,Aerith,Prism Rod,Wind,800.0,Single Enemy,Mag,4,,,,,,,,,,,,,,,,,,,,,,Featured
4008,Aerith,Fairy Tale,Heal,75.0,All Allies,Mag,5,,,,,,,,,,,,,,,,,,,,,,Featured
4009,Aerith,Wizard Staff,Lightning,540.0,All Enemies,Mag,4,,,,,,,,,,,,,,,,,,,,,,Featured
4010,Aerith,Wizer Staff,Earth,540.0,All Enemies,Mag,4,,,,,,,,,,,,,,,,,,,,,,Featured
4014,Aerith,Sun Umbrella,None,540.0,Single Enemy,Mag,4,,PDEF Down,25,8,High,High,Single Enemy,MDEF Down,25,8,High,High,Single Enemy,UNKOWN ADDITIONAL EFFECT,,,,,Single Enemy,,,Featured
4015,Aerith,Floral Wand,None,420.0,Single Enemy,Phys,3,,PDEF Down,24,8,High,High,Single Enemy,Wind Resistance Down,24,8,Very High,Very High,Single Enemy,UNKOWN ADDITIONAL EFFECT,,,,,Single Enemy,,,Featured
4016,Aerith,Umbrella,Heal,110.0,Single Ally,Mag,4,,UNKNOWN EFFECT: 6,,,,,Single Ally,,,,,,,,,,,,,,,Event
4018,Aerith,Sea Dragon Staff,None,360.0,Single Enemy,Mag,4,,Water Resistance Down,28,9,High,High,Single Enemy,UNKOWN ADDITIONAL EFFECT,,,,,Single Enemy,,,,,,,,,Grindable
4019,Aerith,Chocobo Staff,Heal,14.0,Single Ally,Mag,4,,MDEF Up,38,12,Very High,High,Single Ally,,,,,,,,,,,,,,,Event
4020,Aerith,Snowflake,Ice,540.0,Single Enemy,Mag,4,,MDEF Down,30,10,Very High,High,Single Enemy,,,,,,,,,,,,,,,Featured
4021,Aerith,Ramuh's Staff,Lightning,480.0,Single Enemy,Mag,4,,,,,,,,,,,,,,,,,,,,,,Grindable
4022,Aerith,Garnet's Rod,Heal,14.0,Single Ally,Mag,3,,MATK Up,38,12,Very High,Very High,Single Ally,UNKOWN SKILL STATUS CHANGE,,,,,Single Ally,,,,,,,,,Event
4023,Aerith,Egg Staff,Fire,630.0,All Enemies,Mag,4,,UNKOWN ADDITIONAL EFFECT,,,,,All Enemies,,,,,,,,,,,,,,,Featured
4024,Aerith,Dawn's Prayers,None,360.0,Single Enemy,Mag,4,,PDEF Down,28,9,High,Mid,Single Enemy,UNKOWN ADDITIONAL EFFECT,,,,,Single Enemy,,,,,,,,,Event
4025,Aerith,Kamura Wand,Heal,8.0,All Allies,Mag,4,,PATK Up,20,6,Very High,Very High,All Allies,MDEF Up,20,6,Very High,Very High,All Allies,,,,,,,,,Limited
4026,Aerith,Radrod,Water,290.0,All Enemies,Mag,4,,,,,,,,,,,,,,,,,,,,,,Event
4027,Aerith,Hell House Rod,Ice,290.0,All Enemies,Mag,4,,,,,,,,,,,,,,,,,,,,,,Event
4028,Aerith,Citric Wand,Heal,10.0,Single Ally,Mag,3,,Ice Damage Up,30,10,Very High,Very High,Single Ally,MATK Up,30,10,Very High,High,Single Ally,,,,,,,,,Featured
4029,Aerith,Bahamut Rod,Heal,60.0,All Allies,Mag,5,,PDEF Up,20,5,High,High,All Allies,UNKNOWN EFFECT: 16,,,,,Other Allies,,,,,,,,,Limited
4030,Aerith,Ultimate Guard Stick,Heal,51.0,All Allies,Mag,0,,UNKOWN SKILL STATUS CHANGE,,,,,All Allies,UNKNOWN EFFECT: 6,,,,,All Allies,,,,,,,,,Ultimate
4031,Aerith,Terra's Rod,None,750.0,All Enemies,Mag,4,,Fire Resistance Down,35,11,Very High,Very High,All Enemies,Ice Resistance Down,35,11,Very High,Very High,All Enemies,Lightning Resistance Down,35,11,Very High,Very High,All Enemies,UNKOWN ADDITIONAL EFFECT,All Enemies,Limited
4032,Aerith,Titan Rod,Earth,450.0,Single Enemy,Mag,4,,,,,,,,,,,,,,,,,,,,,,Grindable
4033,Aerith,Crimson Staff,None,750.0,All Enemies,Mag,4,,MATK Up,20,6,Very High,Very High,All Allies,MDEF Down,35,11,Very High,Very High,All Enemies,UNKOWN ADDITIONAL EFFECT,,,,,All Enemies,,,Limited
4034,Aerith,Gambanteinn,Heal,60.0,All Allies,Mag,5,,PATK Up,16,5,Very High,High,All Allies,UNKNOWN EFFECT: 16,,,,,Other Allies,,,,,,,,,Limited
4035,Aerith,Noblesse Rod,None,360.0,Single Enemy,Mag,4,,PATK Down,28,9,High,Mid,Single Enemy,UNKOWN ADDITIONAL EFFECT,,,,,Single Enemy,,,,,,,,,Event
4036,Aerith,Princess Guard,Heal,14.0,All Allies,Mag,0,,UNKNOWN EFFECT: 16,,,,,All Allies,,,,,,,,,,,,,,,Ultimate
4038,Aerith,Mermaid Rod,Heal,8.0,All Allies,Mag,4,,PATK Up,25,8,Very High,High,All Allies,Lightning Damage Up,25,8,Very High,High,All Allies,,,,,,,,,Featured
4039,Aerith,Supreme Sage's Staff,None,890.0,All Enemies,Mag,4,,UNKOWN ADDITIONAL EFFECT,,,,,All Enemies,UNKOWN SKILL STATUS CHANGE,,,,,All Allies,UNKOWN ADDITIONAL EFFECT,,,,,All Enemies,UNKNOWN EFFECT: 26,Self,Limited
4040,Aerith,Team Leader's Bamboo Sword,Water,530.0,All Enemies,Mag,4,,UNKOWN ADDITIONAL EFFECT,,,,,All Enemies,Water Damage Up,25,8,Very High,Very High,All Allies,,,,,,,,,Limited
4041,Aerith,Magatsuchi Rod,None,360.0,Single Enemy,Mag,4,,MATK Down,28,9,High,Mid,Single Enemy,UNKOWN ADDITIONAL EFFECT,,,,,Single Enemy,,,,,,,,,Event
4042,Aerith,Lightning's Rod,Heal,8.0,All Allies,Mag,4,,UNKOWN SKILL STATUS CHANGE,,,,,All Allies,PDEF Up,25,8,Very High,Very High,All Allies,UNKNOWN EFFECT: 30,,,,,Self,,,Limited
4043,Aerith,Staff of the Possessed,None,920.0,All Enemies,Phys,4,,UNKOWN SKILL STATUS CHANGE,,,,,All Allies,Water Resistance Down,30,10,Very High,Very High,All Enemies,UNKOWN ADDITIONAL EFFECT,,,,,All Enemies,,,Limited
4044,Aerith,Abraxas,None,1000.0,All Enemies,Both,0,,UNKNOWN EFFECT: 31,,,,,All Enemies,UNKOWN SKILL STATUS CHANGE,,,,,All Allies,,,,,,,,,Ultimate
4045,Aerith,Rousing Wizer Staff,Heal,8.0,All Allies,Mag,4,,PATK Up,20,6,Very High,High,All Allies,MDEF Up,20,6,Very High,Very High,All Allies,,,,,,,,,Event
5001,Red XIII,Sleek Collar,Heal,7.0,All Allies,Mag,4,,MDEF Up,14,4,Very High,Very High,All Allies,,,,,,,,,,,,,,,Featured
5004,Red XIII,Silver Collar,None,320.0,Single Enemy,Phys,3,◊ Diamond,Wind Resistance Down,24,8,Very High,Very High,Single Enemy,Water Resistance Down,24,8,Very High,Very High,Single Enemy,UNKOWN ADDITIONAL EFFECT,,,,,Single Enemy,,,Featured
5005,Red XIII,Gold Collar,None,350.0,All Enemies,Mag,4,,UNKOWN ADDITIONAL EFFECT,,,,,All Enemies,MDEF Down,25,8,High,High,All Enemies,,,,,,,,,Featured
5009,Red XIII,Platinum Collar,Heal,11.0,All Allies,Mag,5,,UNKOWN SKILL STATUS CHANGE,,,,,All Allies,,,,,,,,,,,,,,,Featured
5016,Red XIII,Noble Collar,Water,520.0,All Enemies,Mag,4,,,,,,,,,,,,,,,,,,,,,,Featured
5017,Red XIII,Ivy Collar,None,420.0,Single Enemy,Phys,3,,Fire Resistance Down,24,8,Very High,Very High,Single Enemy,Ice Resistance Down,24,8,Very High,Very High,Single Enemy,UNKOWN ADDITIONAL EFFECT,,,,,Single Enemy,,,Featured
5018,Red XIII,Rage Collar,Fire,750.0,Single Enemy,Phys,4,,,,,,,,,,,,,,,,,,,,,,Featured
